"gid","geom","shape.len","img_path","objectid","win_path","rng","shape.area","filename","alias","twp","sec","unix_path","path","quarter","id"
1527,"01030000206B0D000001000000240000005DC8C8C517C6314126D80A2B30763D41B61113A01CC631414BE236347F753D4187C57AE02EC63141BCFE67B0E7723D41A1205E053CC63141FB305B7B09713D417B9374F440C631412E70C31755703D41AAB92A5991C43141AE2692CD47703D417FCB782812C13141BCBE23DF2B703D4157DACA0811C131416DBD7DE053703D41E96251FF10C13141018EF12655703D418AE02A5B00C13141BB733FEC9B723D415BF1E51BFEC03141CEEEA0E5EB723D41A4B43B76EDC0314107DE8A8133753D411E260530EBC031410A56E07A83753D412148D788DAC03141C95B66EDCB773D4132FD3962D9C03141D024B5EEF3773D41A27EA542D8C031417887BDE61B783D41B7637DD6D2C031413969CB2ADC783D41FBD080C6CBC031411A659512D6793D41788D1BABC7C03141B32D2115677A3D4167C0B887C5C0314125D26EA38C7A3D41A24B5D7AC5C131411DB8424F937A3D415892A6669DC23141A623DDE8987A3D4108B3285F62C33141403F8E099E7A3D41ACC445B24BC43141136ADE23A47A3D41460FAB6A21C53141DB0350B1A97A3D4123074E652BC531415E59BBF3A97A3D41208FE74ED0C531413F11FC40AE7A3D417FFE8F24F8C53141724C954AAF7A3D41D242FCF5FEC53141B2BD7A2BB7793D41C190CFB001C63141029FE19753793D41E3CCBA1902C6314135879A4F45793D4145B2A36B04C6314168D14804F0783D41066C5C2D07C631417A4D127A8C783D41973B438E0AC63141900E6BDA10783D41E052149213C6314107DC83D4C8763D415DC8C8C517C6314126D80A2B30763D41",7967.592774489241,"\\dc07nas01\GIS-VBLDGS1\images\80acres\ene184014r.tif",1202,,"14",3527210.25090172,"ene184014r.tif","ene184014r","40","18",,,"ene",
1528,"01030000206B0D000001000000260000005700C0704ED03141D7F5B5C5507C3D412680284C53D03141F789B1C6A17B3D416A2CE59654D0314158761611737B3D417DA4800B58D03141D7E6BB59F67A3D417AA9F24E88CF3141EA3E93D1F07A3D4137A20B1F84CF3141AC222BADF07A3D41301C6AE8E2CE314189A9D762EC7A3D4105A7F707A2CE31417BB557A3EA7A3D418E278F7825CE3141052AE44AE77A3D418EC51E7A2FCB31419A59870AD37A3D4160FFDA511ECB314199794794D27A3D41CB1C29A31DCB3141859AB6BDF57A3D41D81BF1080ACB314146EEDA08CF7E3D41289182DB03CB3141D0C80AA905803D4175922467F9CA3141119DA81267813D41AEBE0946F0CA31414EF623259C823D41AB59213EF0CA3141402E5C9E9C823D41603F5239EFCA3141EEDD5E97BD823D417099C2FFEACA31418FEC89BA46833D416675C42EE9CA314130B4D13D81833D415CDE34C6E6CA31418D96B5DDCF833D41FD256886E6CA3141332E6268D7833D4157F548D6E5CA3141CF53E2D6F0833D41F08D40EDE4CA3141A12C71D911843D41B9B81F5BE1CA314161875FD993843D41617D5DC9DDCA3141A999A9AA15853D41528868E0DCCA31415997E4A336853D41ABED69EADECA3141E4E04BB136853D416A720E0F0ED031418A5757465C853D41993E0D8A14D031414164DF7473843D41A55ABE281AD03141C5BD118DA8833D4186F6C3382DD03141EEF875C2FB803D41E99A46F532D03141515B10722C803D417FAD80193BD03141EEDF729A087F3D4152D2D2C13ED0314160216978837E3D4157236C2942D03141B7C4F2BD097E3D41E8490D8F4BD031412A298A64B87C3D415700C0704ED03141D7F5B5C5507C3D41",7991.75912504076,"\\dc07nas01\GIS-VBLDGS1\images\80acres\esw084014r.tif",1220,,"14",3542821.2912475,"esw084014r.tif","esw084014r","40","08",,,"esw",
1529,"01030000206B0D00000100000032000000A1192F09C7DA31419FB4BDB679713D41221ABDE9CBDA314176576BF5D4703D41D581BD0FF2D9314165CF9A8ACF703D41E2DA4283E3D931413229A12BCF703D41C71ACA81F0D83141FC9FDB14C9703D41EFBA6D0039D83141D0C8FE7CC4703D410B16DAE685D73141FAA21D01C0703D4194E9E1BBA9D531411F5C0F1AB4703D41295983BBA9D53141AD27B448B4703D4149B6B8AEA6D53141338BB29959713D416BD056A9A3D53141DEF1C6B2FE713D412C6FF5739DD5314106C9792E50733D41831E5DAA9AD531419FCF0A7104743D41C44832C398D53141BF5FA1F77F743D41970409DA96D53141C6BC187AFC743D418FDC383C93D53141EE8E7EE6E5753D411E80117D90D5314170DAAD7298763D411630DEF88DD53141F9DCAEA73B773D41CA4F036A8BD53141BAA312AFE0773D41C077ECE688D531413DE5265883783D411860465186D531418734CBB92B793D419A8492C283D53141DA3389AED0793D41578EB1AF80D53141F84C25ED977A3D41993504B57ED531416DC097A5197B3D4103F5274B67D831412222B28C2D7B3D41560369EBCAD83141CEE3AC3C307B3D41BD66BE00ACD9314129BB9541367B3D4144D5545541DA31419EE793403A7B3D41721A6A4E5CDA3141274E3DFA3A7B3D41CC3ECC507DDA3141FF5438DC3B7B3D41BD6234497EDA3141D6D8CED91A7B3D415CF7AE3181DA3141FA38DC2FB87A3D41C2E95DAD81DA314126AEF4EFA77A3D41D99CDAF785DA3141935FFE0D167A3D41E9CF13F786DA314173BC4B1EF5793D41EF1029F986DA3141DB331719F4793D41B94DC3D08BDA3141B432E34050793D4165AD91B190DA3141F86BE150AB783D418BE5C08A95DA3141C8C1C7B406783D413057946B9ADA314165B9C7C461773D4180301D449FDA31417E3FA57CBD763D418382B64C9FDA31419FEB77AFBC763D4197052F86A4DA31418E723D080B763D4190FE88DBA4DA31410C5778EBFF753D415A24B273ABDA31412A0B08B020753D41D28F5D1AAFDA314166D9581AA5743D415C1B4BDDB2DA314123ED48E925743D41C3F7C78BB4DA3141EA480087EC733D41FB9DEE2EC2DA3141D29714CC1E723D41A1192F09C7DA31419FB4BDB679713D41",7919.56626736508,"\\dc07nas01\GIS-VBLDGS1\images\80acres\ene174014r.tif",1593,,"14",3455282.53188209,"ene174014r.tif","ene174014r","40","17",,,"ene",
1530,"01030000206B0D0000010000003400000021445C95F1BF3141D7E4E183B7993D41CDD23E57E3BF3141F4CBE213B7993D41D3828869E1BF3141BCD06A0BFA993D41DB620879D5BF3141F8D221EA9B9B3D41B032BFB9D3BF31418ABFABFAD89B3D414C0F214CBEBF314131E7FE6CC79E3D412666C896BDBF3141680E3462E09E3D41C9DBA1BBBCBF31413445E667FE9E3D410417BBC2B1BF3141DD3F47807EA03D41D087F4DDAFBF3141440C007CC0A03D4154828C57A6BF3141A0F942B0C9A23D4152256FF2A0BF3141678E62D5F0A33D41CDFE4925A0BF31418523C2E315A43D41386DDFC84CC43141AD79F9453CA43D41F0CF8E0BA3C43141B60BAD043FA43D418F349AF7C0C4314145E492FA3FA43D414E7D3E19C2C4314139D67F341EA43D416599BA7DC3C43141EBF14549F3A33D41AA9F774EC4C431417E98E6BADAA33D41FCB7341FC5C431411C44872CC2A33D41B546324DC5C43141116DD586BCA33D41586004F0C5C431417CC8D394A9A33D411E2ECCB9C6C43141C2B2660691A33D41A57B898AC7C431416E6D077878A33D412BDB465BC8C431413C2DA8E95FA33D41D4CA162CC9C43141C0C5F45147A33D41F0DDDEF5C9C431411EC487C32EA33D4105CF6FCECAC431419A4B44C515A33D41DE610BA0CBC43141CD0CF3C6FCA23D410780A115CDC431417A8D5D41D0A23D4109E202E6CDC43141AF4CA3E1B7A23D4164645CAFCEC4314185712F8B9FA23D412408FD77CFC431413F55059287A23D4107819762D0C431412DC01F806CA23D4161FFA962D0C43141FF93CB766CA23D41BB7DBC62D0C43141D267776D6CA23D4141ED6EA3D6C4314142B5E1D3AEA13D41FBB38FFFD6C431410DE1D575A3A13D4147817435DEC43141D165F9F7C8A03D41C9D3FDC8ECC43141282390020E9F3D41E178C952FAC431416BC7EC54739D3D4167270655FFC43141E97EC58CDB9C3D4187A9AD9102C53141A1DC9E08799C3D41F72A0F2A13C53141CB418D98819A3D4106AC3F6D18C53141EF2D24A7E1993D41227BF64B3EC3314120D9E81AD2993D41D12CD10BF5C231418CFF9CB7CF993D413AFA6B24D6C2314128C79CB6CE993D419656E30386C23141F5102B17CC993D41F8E436431DC03141F15516DFB8993D414752FCD60BC031415C352A56B8993D4121445C95F1BF3141D7E4E183B7993D41",7958.73801798237,"\\dc07nas01\GIS-VBLDGS1\images\80acres\ene064014r.tif",1111,,"14",3523291.7716682,"ene064014r.tif","ene064014r","40","06",,,"ene",
1531,"01030000206B0D0000010000000A0100006E7B606DC4D53141C1F3A696DB953D41E12A2294C4D53141B01F63A0A9953D41F1F992B9C4D531413492F62B7F953D417BFA8DD6CCD53141671D41C77D953D4179FFFD50D1D531417333F2557B953D4178CE3299D4D5314117CA35E278953D41FE956F9ED6D531410BF8776174953D4129261876D7D531414FD69F256A953D4118BA8D71D7D53141FEE5D5AA5E953D417170C2D9D7D53141C8B68D304A953D41BC87FD92D8D53141FF06FF3A41953D4182DD8D35DBD53141F948C43A37953D41BD83B350DDD531413F72A0CA2E953D4142CCB549E1D5314190CFD08827953D416F6A9C57E3D53141894B913122953D4190129C30E4D53141273AC4BA1A953D4147BB432FE4D531416826C38814953D41A72148F0E2D53141FD740A170D953D41E9428556E3D53141BE277B4C07953D41BAAFF2C3E3D531412D89F3D204953D410775943FE6D5314151CED14900953D4132009189E9D531413D8431F6FC943D414914C14CF6D53141CB8CACB7F4943D41081A1E36F9D531412FBDA8FCF0943D4129D7249E00D6314170F698BCE8943D41BD219A5604D631413B06CDD9E5943D4177828A900CD6314128E86C7CE0943D411E3121FE13D63141A6F1A05ADC943D411A3F5FF218D63141242ECF33D8943D4173DA16A81CD63141E3B3373DD3943D41481B5EB41ED63141604234B3CE943D4145F2576F22D6314110DF3A93CA943D417744400329D63141D4984FF5C3943D410438E8063ED631414BEF88B7AF943D41EBCBF0FC49D63141DA8F4C41A2943D416487CCC24FD631412ABE85B59D943D41F116782E57D63141FA83511997943D413C02ADE15AD631416471E85F93943D41B68C30895CD63141D611EB7890943D41E1086D015FD631415CF8E99C8D943D41CECDE17F61D63141DDB7401E8B943D41D6BF6F5169D6314197AD0EC085943D41DEB069FB71D631411580A7A27C943D41DDF6EE2678D63141DB9BE90376943D4187875F737BD63141AC11717C71943D41AE66BC5C82D63141B8A2AE7F66943D41CA97171486D631413A86DCBB60943D41FD429B058BD631413C8B40815A943D41F18DC9F98FD631415098C46356943D414AA1C4B895D63141D2979CCE51943D4157298D449AD63141F3AC4CB04D943D41C95937369FD6314106B2FECF4A943D41410D792AA4D6314136DB2EA946943D41C56C715AAAD6314193BAAD4741943D41586B65B5AFD631411A1442F83D943D414E0CDE12B5D6314151C0A86B39943D41394274C2B8D631418DE2660E34943D41B98385CEBAD63141E2D760A02F943D41CF10F158BCD63141A937C2572D943D4146CC8329BFD63141FF8E028B2B943D41EE8781D7C5D63141E6DC2C3A29943D41FF6FA9BACAD631416E8C64A426943D4151C005CCCDD63141CA659BC923943D4109F36E19CFD631418BD241B320943D410C1A3429D1D63141CF80C1DF1D943D4143917438D3D6314182618E4D1B943D41DED14584D5D631412C520FC119943D41B078B015D8D63141ABBB1D3518943D41137FEA5FD9D63141B979E7AF16943D41F1AAE1ADDBD631419E8BDF1414943D41602F1533DCD63141831EA69C13943D412982834FE0D63141F2C0747D0F943D4188E24D2EE5D631416EBA1CA10B943D41880A4ED2E9D63141D6B3224C09943D4188633A29EED63141BC4CDA3707943D414EE9F441F2D63141AA9A19EB04943D41133860D2F3D631419E90CF1B03943D4174581CE1F5D63141B1D3E9CA00943D419B8BB76FF8D63141D5D78034FD933D41837BF87EFAD6314159F24DA2FA933D417C366AD5FDD6314122E05F09F8933D41B1B389B702D73141D5B132F6F5933D415114485611D73141FBEC9210F0933D41DF3BA8F619D7314159D0EDAFEB933D41605B597526D7314118CD4BEEE2933D410880CE0F31D73141BAD59A20DC933D419002555C36D73141C6136212D9933D419DA56D813AD731418111A689D7933D413749AF3140D73141066BF8C7D6933D41549E44F543D731417689CA47D5933D4153A802A446D7314102F97E01D3933D41533EF3E448D73141BB6769F6CF933D419A2924E448D73141363411F0CC933D41E487B61F48D7314103607645CA933D41BC6027E448D731415F142516C6933D415C78B54B4CD731416CC530ECC1933D416F7893A757D731412B99AA6DB8933D41E05D39776CD73141A96DA849A9933D41A22540238ED731417CEB934093933D413BA9345BB1D73141889E51347A933D419B844C18BDD731416081873F74933D41E0A3B7C4C2D731415BA9FEF571933D414A519AEDC6D73141A5A67F916E933D418205AF53CAD7314110EC1F226B933D410A836BB3D5D7314165037B2B63933D41476B8E85EAD731417495A6D352933D4109AE4060F7D73141F9A3305849933D41C3CC38F6FFD73141D5C8004143933D417C90108D0DD8314131AC0DAB39933D41ACA38DA927D83141A14EEEEF23933D41605E5CA035D83141B77E56151B933D4114885D7949D83141E83B40770D933D411EB37F995CD8314177683159FE923D41358E210373D831411286CC95EF923D418272FCCF82D8314162217DECE4923D417F1D13E58AD83141B19C7730DD923D415154AA02C1D831413411F0E7B9923D41EE23BE93E7D8314116D1A0DFA3923D413EEF15F5F4D83141582AB2A79C923D41AAB8E0C1F8D831414EFEB90F9A923D41CD199CF7FED83141E839E84C95923D414D477C230AD93141CD0F0DE78E923D417B9FC7F010D931411C4D5BE98A923D41BDC3812316D93141E35210DF86923D4192FEE88C1CD931414AB5711484923D41485D01F126D931413047BD1480923D41E7E3FF1E2ED931415C6E1C757C923D41982BFEEE36D93141FD51343D75923D41B4DC25B747D93141A1ED00D566923D4195E095554ED9314139C2B4ED61923D41E9B7AE0956D93141182BEA655D923D411220604960D93141211336C656923D41A10E2FFF67D9314151FCDB6751923D41DF373F416FD93141A4E3042F4E923D415D3A201976D93141170B3DD54B923D415BA0E98F7AD931416D496A364B923D4115A6E4C680D93141FEF8F94149923D411A3DE7C786D93141454C887646923D41510043A09AD931412568CE3539923D41A50F5E36B0D931415CCE51D32B923D41647C8775BED93141BD3D81A921923D4176FAC189D1D93141369AD30515923D4163A014C0DDD93141BD638EAF0D923D4166943EFBE0D931411B3421D50A923D41C4C85F47E6D9314111A3EBFE07923D4159E0AFDCF2D93141D39647DD01923D41AF77AEE701DA314195342B26FA913D41036B58140CDA31417C430F0AF6913D419001FD5611DA3141F3DDF970F4913D41BBC0C81419DA314194830DFDF1913D41EB79D52A1FDA31416CAF201FEF913D41ACAC4EE326DA314117B5EADDEB913D416771005D2BDA3141349347D3E9913D418A61913C30DA3141A266A706E9913D413AABCEB334DA3141E6F4DD2FE8913D415A5BB6703CDA31416365E42BE6913D4168660BEC40DA3141ACD10554E3913D41F4DFBF3346DA31416BB89540DF913D4161D31CDA49DA3141AD557671DE913D415C3909AE4CDA3141FB4EE86DDE913D41D1E005CD52DA314190182001DE913D4187D2700D56DA3141D60F52FDDB913D413A96DFF95EDA314199D1FEE7D7913D4182E160A662DA314108C28B7FD7913D41283D57E465DA3141567097AFD6913D41975E0B686CDA3141313F1FA9D4913D418349197E72DA314133D633CBD1913D41A0ED4D5F77DA31418DEB5831D0913D41CE5F0B797DDA31413657F3EDCE913D41E8E173EB7FDA31411BDBF2F2CE913D4171152BC282DA31410AEEDCF9D0913D41141874FF78DA314171328310B9913D41C85ED0BB4EDA314135EC81704D913D41C4B163C43EDA3141A48EA77B1E913D41FEBDE10538DA3141BE16C02A0A913D41AF0A79AB2BDA31410E4ED661E2903D417DE378891EDA31413BDB7D12B6903D412029BF6611DA31416DA179B386903D414B1E5CD605DA3141BD0B99FF57903D41DB2228B5F8D93141BD84160C21903D41EFFE59BFF4D931416B4051CB0E903D4126B7DFD458D83141332179C402903D41A74B56682BD83141D40C166C01903D413F76165DB3D73141E7E107F4FD8F3D4133097E6577D73141B3132E2AFC8F3D41751A5C534AD731417FFFF3DBFA8F3D41F7789B5C18D73141341FD067F98F3D414DFC5497C1D6314139B8A7DBF68F3D41B288E0D672D6314100EAD797F48F3D4147AAD9F10FD6314198BFECB1F18F3D4145D73AAE18D53141CD5FDF7CEA8F3D411D8277AAF0D4314108C92E55E98F3D41FFC45224B5D431410CE5B22163973D41881BD626A8D431412C09EE6D05993D41B00B4E7E9DD431411005F7F2449A3D4103D4813DB8D4314173B51F99459A3D4197592436C6D43141F051BFF6459A3D4168380234CAD531413F6AF38A4C9A3D4105072991CBD531419B6494D3229A3D4198B8C570D5D531415653B13F229A3D41284D5708D7D53141B7A37754209A3D41557C9AD6D7D531411D1257261E9A3D41287C5196DAD531411F4D7733F1993D41D2DF3EFEDBD531416202272EDA993D4127F9AEB3DDD531419ABA3543BF993D41951CDBE5E0D53141D2CE725C8D993D4124C6A7F4E1D531415C3C6C887C993D418B6676E7E3D5314102BFA4625B993D41AF6E7C6AE5D53141FAA0E04D41993D41AA3C7065E5D531415EB4598139993D41C4C6CC67E5D531412E10DEE934993D4141A83CDEE4D531417BBE871B34993D416B37E962DBD531413D6467D72F993D41A8130BEAD5D5314197423A5B2D993D41E6E412B8CBD53141302131592D993D41760C53AEBBD53141FA2DFE092D993D41FFAC6B86B1D531419BC134802B993D418FC3DBB89AD53141EBDF57972A993D416D8E3BAE8ED531412ECFEE462A993D41755F9A5E82D53141B09457AB29993D41ABDAFDB979D531411F25805829993D41E01A6C0776D531418806545A29993D4147678B3F73D53141C7469EE326993D417820A6F172D53141DFDEF71D24993D41431B14F472D53141AF12287D1F993D4167AD51F372D53141B173850019993D415EBAACF572D53141A0D3096914993D41D685E30A72D53141BC56FB1010993D41A24258426FD531414B293BEE0D993D41DDE3ABB269D53141B6CA71640C993D41764FB96565D531415FFAAF9609993D416929BAB161D53141DCFED66F03993D413CDBBA875FD531412E701655F4983D41C89C294D5DD5314168F705F7E9983D41906BC81D71D53141DC5E2C8FEA983D418DDEEB75CFD5314151F2627EED983D41CF614176D4D5314129C286A4ED983D41E0A66853D6D531417BDA0FBBBB983D41238284E1D5D53141170C9B8B89983D417EE8CEE0D0D5314103151C9489983D41B8DFFC21D0D53141CFD4B09257983D41742DB322D5D5314176C72F8A57983D41DD208694D4D531416DA67B9225983D41C0E9DA5506D631410D10E45825983D41B95F56A305D631419FBEAE491D983D41DC06E1A205D631413B51C53A13983D4128A7D40908D63141B8B586280B983D41F1A3320D0AD631412C1515B700983D4153B2464309D63141CCDFF60AF3973D41D2DE5B7508D631419ADF9956E7973D410A7035740AD63141768140B1DB973D419490F5A80DD63141E4AF151BBD973D41B609731110D6314183031791A6973D419C93E0DB0ED631414D5B9C7E9A973D41E631C4DB0ED6314175703F207F973D41102EE9130ED63141A760F6016D973D41A776AE2CCAD53141D82D397C6B973D4134AC93F0C8D53141B324D07939973D413BAC82ADC7D531416611597707973D41D9335E6AC6D53141A33F367ED5963D41677E75D2C5D5314120D8ADE3BC963D4147C0542EC5D53141EB4C7972A3963D416AE724F2C3D5314145C7647971963D412700E718C4D5314190B720833F963D4198A89E46C4D53141B1DBEA8C0D963D416E7B606DC4D53141C1F3A696DB953D41",7918.7054685442,"\\dc07nas01\GIS-VBLDGS1\images\80acres\ese054014r.tif",562,,"14",1662297.48397812,"ese054014r.tif","ese054014r","40","05",,,"ese",
1532,"01030000206B0D0000010000001D000000FF7EB94C45BE3141300A5734AA993D410DC1F7BFB1BA31412CADE5B28D993D41A64C881AA5BA3141E0B8A6DF599B3D410BCFE946A4BA3141C277BFD2779B3D41FB68629396BA314194A6E78B6A9D3D412070F8618CBA3141A5BC5CDFDC9E3D414531BF4480BA31410B0DBB4C95A03D41043862D875BA31414FFACD7A10A23D412D4F750974BA3141AC28B57652A23D413D63D0A26FBA31417ACEEA69F2A23D41F44F6ABD69BA314146A65AD0C7A33D41506397C368BA31419E494015EBA33D41BEA07968ACBA3141AF4D8C46EDA33D4144A264EBC8BD31418205EACA06A43D416B01603379BF31418E6D90A414A43D41CDFE4925A0BF31418523C2E315A43D4152256FF2A0BF3141678E62D5F0A33D4154828C57A6BF3141A0F942B0C9A23D41D087F4DDAFBF3141440C007CC0A03D410417BBC2B1BF3141DD3F47807EA03D41C9DBA1BBBCBF31413445E667FE9E3D412666C896BDBF3141680E3462E09E3D414C0F214CBEBF314131E7FE6CC79E3D41B032BFB9D3BF31418ABFABFAD89B3D41DB620879D5BF3141F8D221EA9B9B3D41D3828869E1BF3141BCD06A0BFA993D41CDD23E57E3BF3141F4CBE213B7993D41A9A56723B1BF3141B45B8E86B5993D41FF7EB94C45BE3141300A5734AA993D41",7976.39402878138,"\\dc07nas01\GIS-VBLDGS1\images\80acres\wne064014r.tif",565,,"14",3531700.66656446,"wne064014r.tif","wne064014r","40","06",,,"wne",
1533,"01030000206B0D00000100000027000000B00B4E7E9DD431411005F7F2449A3D41F972E62E9BD431410BE89FDB449A3D413F45513776D4314158B31EF2439A3D41B974B909E0D3314133204222409A3D41B6CE960FD1D33141C253A2C23F9A3D41E81107DB3AD331410687FDF23B9A3D41BDADDCDBF8D23141B555FD423A9A3D413F9FD9E562D231412AB3867D369A3D418A4BC9EB53D2314192CEA214369A3D41BF55CEEEBDD1314198C8634F329A3D41F897A1EF7BD131411464AA9F309A3D4146428B19E4D03141A53164C42C9A3D4107537C11D5D03141338FC8642C9A3D4168E3141B99D03141B65C60DD2A9A3D4153028D2085D03141A95527612A9A3D41211C34DBA0CF3141AE804093249A3D41A19280E56ECF314132B4D14E239A3D4142D000DD6ECF31417A49AB12249A3D4154E6882165CF314146F555A36C9B3D4129C0807A60CF314164C7E7AE0F9C3D419306F57260CF3141D0257BF90F9C3D4118CE619C5BCF3141F6A5FD5BB99C3D4172F9616959CF3141CF8ABF2EFE9C3D41395E968556CF3141F1EB5F28599D3D417DC3617D56CF3141C9D6E8C6599D3D41B8BA929E54CF31414F9D7EE3939D3D41EBEF198F51CF3141D72F81A8FD9D3D4121904ACA47CF3141E6D4EA624E9F3D410E15EF9947CF314169B07820559F3D4131B191DC41CF3141A6059EEF0CA03D41730B055C3DCF3141939AEBE29CA03D41074810D618CF3141DC1E7A2C7CA43D41797A96283FD03141D59B2BD382A43D4136A9735546D031410F649DFD82A43D4140854A477BD03141B2838C3584A43D4104985C5182D031413F63B95F84A43D41F87CC95726D2314132BE8EEA8DA43D4128328D4545D43141CDC765399AA43D41B00B4E7E9DD431411005F7F2449A3D41",7948.812097620511,"\\dc07nas01\GIS-VBLDGS1\images\80acres\wne054014r.tif",1122,,"14",3505426.61978859,"wne054014r.tif","wne054014r","40","05",,,"wne",
1534,"01030000206B0D00000100000021000000A19280E56ECF314132B4D14E239A3D4184735ED8DACC314154212D9D129A3D41C26FC67F42CA3141258B6EC2019A3D4136A0E0CC38CA31415376186E489B3D411E238FE933CA3141CECDD6F8EE9B3D414D293C092FCA3141B0041B05949C3D41E30ED0DB2ECA31410483D656999C3D410194496129CA3141FBE4EFF7379D3D4176637D5729CA314193ADB463399D3D41B806C6AF23CA31415CED8D3ADD9D3D41479521121ECA314134F4F0FF829E3D4179D62D3618CA314117BD6F952F9F3D41E66D6FBA0DCA3141F3D87D4E80A03D41D3B79F8003CA31416026586EC8A13D41EFEAF17AFCC931417AAAF812A5A23D416D792870EEC931415137F11A5EA43D4123D8C642FFCE31414DD769927BA43D41074810D618CF3141DC1E7A2C7CA43D41730B055C3DCF3141939AEBE29CA03D4131B191DC41CF3141A6059EEF0CA03D410E15EF9947CF314169B07820559F3D4121904ACA47CF3141E6D4EA624E9F3D41EBEF198F51CF3141D72F81A8FD9D3D41B8BA929E54CF31414F9D7EE3939D3D417DC3617D56CF3141C9D6E8C6599D3D41395E968556CF3141F1EB5F28599D3D4172F9616959CF3141CF8ABF2EFE9C3D4118CE619C5BCF3141F6A5FD5BB99C3D419306F57260CF3141D0257BF90F9C3D4129C0807A60CF314164C7E7AE0F9C3D4154E6882165CF314146F555A36C9B3D4142D000DD6ECF31417A49AB12249A3D41A19280E56ECF314132B4D14E239A3D41",7951.474655855591,"\\dc07nas01\GIS-VBLDGS1\images\80acres\enw054014r.tif",573,,"14",3515771.56455236,"enw054014r.tif","enw054014r","40","05",,,"enw",
1535,"01030000206B0D0000010000001C000000349F1B1CC0CC314197361026AC8F3D41F72DB9E890CA3141101A8ADC9B8F3D41B5DC5F4C81CA3141E3DF46F1B4913D41FB330E3F7ECA31419510FD581E923D4150403A637CCA31419F399D535E923D419E135B597CCA3141DF0CB6C85F923D41A98459D66FCA3141B93879FB0C943D415B88982C6FCA3141250F623E23943D41DE3929166ACA314118A78469CE943D4153D7657064CA31416023BE128D953D4118B5D68860CA3141E12CA12010963D4179FA373460CA3141282F6F211B963D41DD3169995BCA31416428B0B8B5963D41C26FC67F42CA3141258B6EC2019A3D4184735ED8DACC314154212D9D129A3D41A19280E56ECF314132B4D14E239A3D418811117B75CF31418368C0C41B993D41C1EB801985CF3141E43C0E3E39973D41E059185C88CF31418064823BD5963D41246F2E288DCF314145F388F13E963D4111D333B2ACCF3141D3C3780C65923D419064786FC0CF3141A8FD1D93C28F3D419064786FC0CF3141A8FD1D93C28F3D4165E4060EC0CF31413AE85992C28F3D4150A4EE313CCE31418E86EE40B78F3D41438C27479DCD3141862B559EB28F3D418AB4A25E25CD3141A7F8C920AF8F3D41349F1B1CC0CC314197361026AC8F3D41",7973.94129956994,"\\dc07nas01\GIS-VBLDGS1\images\80acres\esw054014r.tif",738,,"14",3528247.83148758,"esw054014r.tif","esw054014r","40","05",,,"esw",
1536,"01030000206B0D000001000000200000001D8277AAF0D4314108C92E55E98F3D4169C30E50F0D43141CE37234BE98F3D413C06051428D13141DC9BB20ECD8F3D419FF24323ECD0314182E1554FCB8F3D417012F4C9C0CF3141A611D493C28F3D419064786FC0CF3141A8FD1D93C28F3D419064786FC0CF3141A8FD1D93C28F3D4111D333B2ACCF3141D3C3780C65923D41246F2E288DCF314145F388F13E963D41E059185C88CF31418064823BD5963D41C1EB801985CF3141E43C0E3E39973D418811117B75CF31418368C0C41B993D41A19280E56ECF314132B4D14E239A3D41211C34DBA0CF3141AE804093249A3D4153028D2085D03141A95527612A9A3D4168E3141B99D03141B65C60DD2A9A3D4107537C11D5D03141338FC8642C9A3D4146428B19E4D03141A53164C42C9A3D41F897A1EF7BD131411464AA9F309A3D41BF55CEEEBDD1314198C8634F329A3D418A4BC9EB53D2314192CEA214369A3D413F9FD9E562D231412AB3867D369A3D41BDADDCDBF8D23141B555FD423A9A3D41E81107DB3AD331410687FDF23B9A3D41B6CE960FD1D33141C253A2C23F9A3D41B974B909E0D3314133204222409A3D413F45513776D4314158B31EF2439A3D41F972E62E9BD431410BE89FDB449A3D41B00B4E7E9DD431411005F7F2449A3D41881BD626A8D431412C09EE6D05993D41FFC45224B5D431410CE5B22163973D411D8277AAF0D4314108C92E55E98F3D41",7966.753453619921,"\\dc07nas01\GIS-VBLDGS1\images\80acres\wse054014r.tif",566,,"14",3527229.65020331,"wse054014r.tif","wse054014r","40","05",,,"wse",
