X,Y,ROTATION,LEGEND_TOP_MARGIN,LRFLAG,JOB_NO,MAP_ID,OBJECTID,SHAPE.LEN,LEGEND_BOTTOM_MARGIN,FRACL,SUBAREA_NO,AREA_NO,PAGELETTER_ID,POLTOWNSHIP_NAME,MAPTITLE,RANGE,SECTION_NO,SHAPE.AREA,IBL,TOWNSHIP,FLYLEAF,PAGE
-87.7323197360056,41.6874106993832,0,,R,,8511,9565,7966.05935653373,,,22,24,D,LAKE,LAKE,13,22,3524574.05749, ,37,0,2422D
-87.7371771122738,41.6873685907051,0,,L,,8526,9566,7961.70839753332,,,22,24,C,LAKE,LAKE,13,22,3520641.13906, ,37,0,2422C
-87.7226172628363,41.6875844009109,0,,R,,9270,9567,7963.67674189311,,,22,24,B,LAKE,LAKE,13,22,3517740.0164845, ,37,0,2422B
-87.6830428099599,41.6737930147379,0,,R,,9862,9594,7990.5788174437,,,25,24,B,WORTH,WORTH,13,25,3554409.22832, ,37,0,2425B
-87.6930266422057,41.6807355988565,0,,R,,10017,9690,8058.78081872891,,,24,24,F,WORTH,WORTH,13,24,3653267.654405, ,37,0,2424F
-87.7420457512368,41.6871877608492,0,,R,,9966,9667,7982.6262434425,,,21,24,B,WORTH,WORTH,13,21,3547740.8038995, ,37,0,2421B
-87.72740371507,41.6859465893895,0,,L,,9968,9669,7966.26642929545,,,22,24,A,LAKE,LAKE,13,22,3523094.2938155, ,37,0,2422A
-87.7229075535954,41.6948932501018,0,,R,,9943,9718,7976.85783035511,,,15,24,H,WORTH,WORTH,13,15,3527602.4524295, ,37,0,2415H
-87.7374417383207,41.6942843003319,0,,L,,9944,9719,7987.62951561257,,,15,24,E,WORTH,WORTH,13,15,3535397.82692, ,37,0,2415E
-87.7177573258698,41.6876880406887,0,,L,,9969,9670,7985.50593934663,,,23,24,C,LAKE,LAKE,13,23,3545266.6919, ,37,0,2423C
