X,Y,Name,Description,StationId
-87.6243701,41.721558,95th-Dan Ryan,Line: Red Line,13
-87.6243943,41.7218663,95th-Dan Ryan,Line: Red Line,13
-87.6247805,41.7364429,87th-Dan Ryan,Line: Red Line,12
-87.6247685,41.7361497,87th-Dan Ryan,Line: Red Line,12
-87.6251882,41.7511523,79th-Dan Ryan,Line: Red Line,11
-87.6251936,41.7508662,79th-Dan Ryan,Line: Red Line,11
-87.6258279,41.7690792,69th-Dan Ryan,Line: Red Line,10
-87.6258212,41.7688391,69th-Dan Ryan,Line: Red Line,10
-87.6310033,41.7800609,63rd-Dan Ryan,Line: Red Line,9
-87.6311843,41.7946263,Garfield,Line: Red Line,61
-87.6316255,41.8092664,47th-Dan Ryan,Line: Red Line,6
-87.6306787,41.8310823,Sox-35th,Line: Red Line,129
-87.6307645,41.8345217,Sox-35th,Line: Red Line,129
-87.6309094,41.8527169,Cermak-Chinatown,Line: Red Line,35
-87.6309872,41.8530506,Cermak-Chinatown,Line: Red Line,35
-87.6313251,41.8544651,Cermak-Chinatown,Line: Red Line,35
-87.6265454,41.8676114,Roosevelt,"Line: Red, Green, Orange Lines",122
-87.6266581,41.8672728,Roosevelt,"Line: Red, Green, Orange Lines",122
-87.6275647,41.8678211,Roosevelt,"Line: Red, Green, Orange Lines",122
-87.6272656,41.8680149,Roosevelt,"Line: Red, Green, Orange Lines",122
-87.6274601,41.8741506,Harrison,Line: Red Line,70
-87.6277068,41.8741426,Harrison,Line: Red Line,70
-87.6278181,41.8722023,Harrison,Line: Red Line,70
-87.6277967,41.8774708,Jackson,Line: Red Line,76
-87.6275419,41.8774668,Jackson,Line: Red Line,76
-87.627798,41.8776196,Jackson,Line: Red Line,76
-87.6277953,41.8777594,Jackson,Line: Red Line,76
-87.6275499,41.8777335,Jackson,Line: Red Line,76
-87.6275794,41.878714,Jackson,Line: Red Line,76
-87.6275767,41.8789776,Jackson,Line: Red Line,76
-87.6278262,41.878737,Jackson,Line: Red Line,76
-87.6278289,41.8789976,Jackson,Line: Red Line,76
-87.6278436,41.8799752,Monroe,Line: Red Line,101
-87.6276197,41.8802587,Monroe,Line: Red Line,101
-87.6276143,41.8800011,Monroe,Line: Red Line,101
